"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000272865",2.35063715577206,7.0793802540849,3.2845091394344,0.00347685704806367,0.569523046284876,-4.48728086939949
"ENSG00000257258",-2.56591412498322,1.68034414422378,-3.17507650991108,0.00449080447634477,0.569523046284876,-4.54362483469297
"ENSG00000276070",2.25840873289475,0.606454650967219,3.15725842781188,0.00468102400701079,0.569523046284876,-4.53971558297269
"ENSG00000127951",-1.76164232418066,1.95397438837394,-3.09803580277841,0.00537097173155254,0.569523046284876,-4.54309933905724
"ENSG00000123975",-1.85773202192339,1.61126433883717,-3.0790971751338,0.00561164912163686,0.569523046284876,-4.54613840294209
"ENSG00000136267",1.19290740178524,9.85738791285766,2.97750025441375,0.00709105278252249,0.569523046284876,-4.48082966339095
"ENSG00000166265",-2.17505021765422,2.97594497958176,-2.9501743407869,0.00754899257928391,0.569523046284876,-4.54250576766344
"ENSG00000225579",-1.9041728809823,1.83795622388909,-2.93479132674559,0.00781913596205008,0.569523046284876,-4.54917703469088
"ENSG00000228793",3.00691575060996,8.07514085755595,2.92566999855736,0.00798366879980428,0.569523046284876,-4.50134542128731
"ENSG00000101336",-2.05654949235725,2.61587819872826,-2.90082360435784,0.00844884895100184,0.569523046284876,-4.5455151226062
"ENSG00000276085",2.19243753741564,-0.119573005989006,2.84915324050346,0.00950062956443488,0.569523046284876,-4.55362516845004
"ENSG00000019169",2.12964596681828,-0.211903272835342,2.82971574559537,0.00992775910409764,0.569523046284876,-4.5557678838927
"ENSG00000259188",-2.35271050280912,0.0704482207935995,-2.81413586729317,0.0102832760570326,0.569523046284876,-4.55709328649708
"ENSG00000038427",1.45219828482052,7.35483797823482,2.76770760432689,0.0114160138205369,0.569523046284876,-4.51814893667162
"ENSG00000172572",1.59874647620753,8.36897517903438,2.76642644593915,0.0114488931578077,0.569523046284876,-4.5110359498307
"ENSG00000096696",-2.16381271062928,0.737623059730219,-2.75929635040854,0.0116335277139236,0.569523046284876,-4.55775168712474
"ENSG00000107105",-1.64770473557323,8.41519536563417,-2.75739680075462,0.0116831916969682,0.569523046284876,-4.51434592318302
"ENSG00000204882",2.02892652106957,-0.143829674517271,2.67933227258971,0.0139072257765211,0.569523046284876,-4.55942476997458
"ENSG00000125968",1.56568313876572,4.25112778574474,2.65715321231754,0.0146087355100938,0.569523046284876,-4.53256848905423
"ENSG00000243967",-1.93619534831603,0.328063647095265,-2.5937537177999,0.0168025621850186,0.569523046284876,-4.56281695473688
"ENSG00000250978",2.08518192378916,-0.251239709824621,2.58196849465408,0.0172430978638477,0.569523046284876,-4.56014496502924
"ENSG00000075429",-1.31047365129054,3.11561452552308,-2.57676101242594,0.0174411902216627,0.569523046284876,-4.55019309206767
"ENSG00000286797",2.45686828516264,3.58793759252621,2.54105428114114,0.0188580627825083,0.569523046284876,-4.5404015951835
"ENSG00000115252",-1.24757645509287,10.3233241348706,-2.53516485895529,0.0191018713793579,0.569523046284876,-4.51331045106658
