"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000164695",2.60507412964055,0.599209442724887,3.06254424159269,0.0064793218490976,0.999332765135134,-4.56311333833989
"ENSG00000099260",1.9730795068471,2.54537237073856,2.65496584134043,0.0157501434167832,0.999332765135134,-4.57102736412854
"ENSG00000227121",2.07915372748502,0.991512832615333,2.5364701925153,0.020259995984954,0.999332765135134,-4.57159476933184
"ENSG00000250092",-2.16184469575672,4.23814720720567,-2.43492669461735,0.0250677279136379,0.999332765135134,-4.57450845145601
"ENSG00000163359",2.50663158676778,1.61378428845127,2.43237726906955,0.0252011896161357,0.999332765135134,-4.57422825626369
"ENSG00000159618",2.20229821780277,4.39693140300943,2.40622887286168,0.0266089262185143,0.999332765135134,-4.57488857609631
"ENSG00000171587",1.64450992426234,9.76684016510406,2.39782011475542,0.0270770026356702,0.999332765135134,-4.56286552696865
"ENSG00000253926",-3.21312237634568,3.04666747140385,-2.24716047454495,0.0368742278881234,0.999332765135134,-4.57698338871187
"ENSG00000251363",1.58206559578094,3.78908718548637,2.20427097581356,0.0402097535185791,0.999332765135134,-4.57871026394375
"ENSG00000078401",1.81758350202199,1.85635698003757,2.16138685788352,0.0438192859485895,0.999332765135134,-4.57875283902869
"ENSG00000285972",-3.31814828152505,4.95950225297323,-2.15971044457061,0.0439662212137559,0.999332765135134,-4.57851706575698
"ENSG00000120129",-2.26745193823642,6.60434051545541,-2.07106860387391,0.0524049747706438,0.999332765135134,-4.57928517663938
"ENSG00000092607",1.80648118087463,1.55909264854669,2.04846376042418,0.0547795118716592,0.999332765135134,-4.58055466912857
"ENSG00000248343",-1.81823727879265,4.83129157872947,-2.03670449450003,0.0560527439524098,0.999332765135134,-4.5809708902971
"ENSG00000278254",-2.11809294465273,4.45321455209704,-1.99641638608222,0.0606192095276086,0.999332765135134,-4.58157165715747
"ENSG00000241231",-1.69975529447484,5.80893139892773,-1.97052348182344,0.0637272863221621,0.999332765135134,-4.5812081228663
"ENSG00000120093",2.04826981005502,1.00540640924254,1.93766399493948,0.0678759923027543,0.999332765135134,-4.58177528180226
"ENSG00000112818",2.26642531002275,2.58311295764475,1.92554605191921,0.0694655586190994,0.999332765135134,-4.58270548622166
"ENSG00000152595",-1.83006170968926,2.73878669907762,-1.8855676027836,0.0749463573842521,0.999332765135134,-4.5832195471564
"ENSG00000157404",-1.74349592863796,4.76777402458142,-1.88399951432015,0.0751689127985746,0.999332765135134,-4.58339551055576
