"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000234377",48.0616114453954,-4.63395613554183,0.848259291475563,-5.46290053302096,4.68417091435534e-08,0.000341845403521545
"ENSG00000072952",10.6839987211654,-5.29005380710776,0.986477352073647,-5.36256995255662,8.20461786923185e-08,0.000341845403521545
"ENSG00000164199",115.466218590782,-3.6941375965394,0.704960637628188,-5.24020406156035,1.60399126388897e-07,0.000445535306732893
"ENSG00000138639",71.4691608538016,-3.78730158901875,0.773210328860755,-4.89815183224329,9.67422709741838e-07,0.00201538336006968
"ENSG00000131095",21.5092287931344,-3.75715586166255,0.81467014459994,-4.61187375843702,3.99055337022717e-06,0.0066506562468206
"ENSG00000173068",9.15031811715783,-3.98780161300885,0.897236264394352,-4.44453904869826,8.80805098174871e-06,0.00925730912139146
"ENSG00000164188",17.7154761847084,-3.23987173466131,0.729315620255937,-4.4423451859215,8.89836546649635e-06,0.00925730912139146
"ENSG00000147509",18.979717926856,-3.52731427614293,0.795635594020483,-4.43332890415172,9.27891476663318e-06,0.00925730912139146
"ENSG00000163453",13.3218905684642,-3.69374513732979,0.836216724682505,-4.41721030960273,9.99829378285409e-06,0.00925730912139146
"ENSG00000130770",9.76541471503064,0.955075225349616,0.220833157736124,4.32487238393269,1.5262018871978e-05,0.0127178403260193
"ENSG00000153208",18.5312109052131,-3.10135589035756,0.7433473392247,-4.17214904353088,3.01740147734833e-05,0.0228581877370397
"ENSG00000251372",17.6137755096297,-2.74799118971199,0.677885788526225,-4.053767221889,5.03993683495948e-05,0.0324305925416368
"ENSG00000165092",13.8278635662739,-4.01802547054464,0.991403216432055,-4.05286709176217,5.0593748114878e-05,0.0324305925416368
"ENSG00000139155",12.5856852972872,-4.24426710250155,1.05630341194238,-4.01803786158087,5.86847694194081e-05,0.0333246682974018
"ENSG00000099326",10.3314699475947,-0.767833280434452,0.191343022154173,-4.01286272052178,5.99868024074195e-05,0.0333246682974018
"ENSG00000251031",8.43364727523327,2.15801996786087,0.542188539060224,3.98020211124597,6.88567007255199e-05,0.0358614304466098
"ENSG00000180229",20.5086364575244,-2.75194398864369,0.697255367715099,-3.9468236690121,7.91948375820811e-05,0.038819445974793
"ENSG00000065883",80.5420949228666,-0.306298689408215,0.0792063236421055,-3.86709893003276,0.00011013775619651,0.0464471349326755
"ENSG00000151012",18.4120892926211,-2.95522403211426,0.764761476070306,-3.86424280587399,0.000111434334282427,0.0464471349326755
"ENSG00000198771",8.13436585477915,-2.39732545854815,0.620402067931407,-3.86414807826399,0.000111477582941739,0.0464471349326755
"ENSG00000131196",2.78314367752463,-4.02843495870911,1.04334119302784,-3.8610906821558,0.000112881994953737,NA
"ENSG00000135272",8.94228490204294,-3.272324303198,0.855403306590392,-3.82547539620974,0.000130519970078431,0.0517915671744554
"ENSG00000196704",34.0525415274897,-1.85704365224205,0.489133650371372,-3.79659761873283,0.000146695611624463,0.0555642968939386
"ENSG00000137693",10.4808313687656,-3.29639176139577,0.873602298068195,-3.77333229169053,0.000161081514045223,0.0573993110070445
"ENSG00000196367",33.7220436989991,-0.307156392955948,0.0815418573944456,-3.76685548711662,0.000165316628365423,0.0573993110070445
"ENSG00000229847",6.67655249800265,-3.75912097272733,1.01015461025393,-3.72133229365983,0.00019817445824695,0.0660555104228732
"ENSG00000106571",15.679172643089,-3.30629422112754,0.89165626281002,-3.70803678393722,0.000208872320639191,0.0666076773881657
"ENSG00000057757",6.59173404112674,0.752427471243792,0.203372876300093,3.69974347087231,0.000215817507437954,0.0666076773881657
"ENSG00000279082",3.33882220284871,-4.16399192066785,1.13233357885222,-3.67735444610644,0.00023566546975047,NA
"ENSG00000168309",10.7388579906452,-2.56464055022016,0.699512124317371,-3.66632751751501,0.00024605874932929,0.0723662854382423
"ENSG00000120278",20.8202830366217,-1.98074954719242,0.54113270934396,-3.66037667468628,0.000251844747114968,0.0723662854382423
"ENSG00000184515",2.968856749146,1.44255933999166,0.394270820127086,3.65880320416987,0.000253395824291439,NA
"ENSG00000100767",4.74324713635097,-3.03244516788423,0.837484422442313,-3.62089740014611,0.000293582930245843,NA
"ENSG00000067066",9.21521861056612,-3.58982108987421,0.992827694076118,-3.61575438647966,0.000299474222327183,0.0831839564884138
"ENSG00000171885",16.7782883135797,-2.61142092144921,0.732352677501621,-3.56579691953598,0.000362752199966827,0.0947297629348741
"ENSG00000250917",53.9320276622993,-1.2833310131604,0.359974872884494,-3.56505720212361,0.000363776840743546,0.0947297629348741
"ENSG00000104228",2.99405501590948,0.860349095734312,0.241810985737733,3.55794048442217,0.0003737739722304,NA
"ENSG00000152661",12.1496170890775,-2.78585039590306,0.784620740370859,-3.55056940578234,0.000384398764936886,0.0970665123702749
"ENSG00000281131",4.12030641846814,-2.74857728257328,0.774700896624334,-3.54792061626607,0.000388285229888992,NA
"ENSG00000254860",3.9728896397899,-1.65394433834004,0.467511291906539,-3.53776340159647,0.00040353147256577,NA
"ENSG00000140022",15.7738516927027,-3.39271308405085,0.959883285836266,-3.53450584473409,0.000408538400108721,0.100127955532529
"ENSG00000113594",61.0791826436271,-1.53639253750298,0.436542687415082,-3.51945544340803,0.000432433664962374,0.101269587469988
"ENSG00000156049",25.3223773467079,-2.28405437467771,0.649550194732263,-3.51636315899985,0.000437502117955065,0.101269587469988
"ENSG00000103740",14.0501347998622,-2.8985306521162,0.827724346003682,-3.50180668976397,0.000462114774930066,0.104075741067358
"ENSG00000116117",48.5813378223111,-1.96216849432932,0.563742310946498,-3.48061242916986,0.000500268814843829,0.109703685107727
