"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000234377",179.754838652767,-4.89330461398651,0.427919233892195,-11.4351125783219,2.79174377128663e-30,5.4134703469019e-26
"ENSG00000197360",95.5699238144784,-4.3340418207982,0.417172347794303,-10.3890918075308,2.77987424780458e-25,2.69522707695893e-21
"ENSG00000164199",387.84838351716,-3.55396523430011,0.358344945114376,-9.91772113086669,3.48624802331896e-23,2.25339451400593e-19
"ENSG00000110436",906.769385596784,-3.47113081520141,0.363712796683882,-9.54360376332406,1.37953285357767e-21,6.68763039093114e-18
"ENSG00000287544",29.3288164147127,-4.33741734669583,0.457224274342846,-9.48641091492761,2.39125929545176e-21,9.27378179962103e-18
"ENSG00000139155",46.4728870699248,-4.26868196972556,0.455320162333907,-9.37512177770669,6.90959604925185e-21,2.23306628318405e-17
"ENSG00000142611",35.9138714610057,-4.44152251082365,0.477267069125982,-9.3061574915642,1.32540704639482e-20,3.67156686237743e-17
"ENSG00000141469",40.0720731079304,-3.47716083388811,0.39268731357263,-8.85478270803619,8.38469909444567e-19,1.87895065184637e-15
"ENSG00000251372",100.738766959379,-3.31495526156547,0.374554400693389,-8.85039731325732,8.72082711908478e-19,1.87895065184637e-15
"ENSG00000164089",35.3544543225577,-4.2184414056127,0.477819571605403,-8.82852368612564,1.06066383523545e-18,2.05673324290507e-15
"ENSG00000286757",92.436174539729,-3.42520632457973,0.393083895023048,-8.71367758370996,2.94172274795339e-18,5.18572234596039e-15
"ENSG00000135063",48.9026598514625,-3.63387115135534,0.420108331066697,-8.64984310624971,5.15702809468367e-18,8.33332764866758e-15
"ENSG00000072952",31.2009745396371,-3.63731351729331,0.430480634934433,-8.44942425307312,2.92742856222401e-17,4.36659748077583e-14
"ENSG00000164188",69.3451977685188,-3.20516591768625,0.381124574895265,-8.4097592462177,4.10853166450718e-17,5.69060982188991e-14
"ENSG00000138696",90.4063228074173,-3.32872487513366,0.405524292098395,-8.20844753321457,2.24066679786216e-16,2.89658465848968e-13
"ENSG00000106571",53.5247319542367,-3.5815613197247,0.43746124664584,-8.18715108409194,2.67482304131928e-16,3.24171834963888e-13
