"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000102755",27.430940612349,-1.98577368952418,0.335875277919137,-5.91223534469917,3.37495849957439e-09,5.93387742741258e-05
"ENSG00000261303",4.76242306501458,1.7156768760496,0.293521399198783,5.84515091823911,5.06109209553719e-09,5.93387742741258e-05
"ENSG00000085276",14.6920309961817,-1.81206604316408,0.329962519287072,-5.49173296130508,3.98008876314927e-08,0.000311097004690291
"ENSG00000267564",6.03824112737365,2.20037188340201,0.438749633508857,5.01509680089019,5.30067718369005e-07,0.0031073894820087
"ENSG00000261371",11.8177801756767,-1.29425556794353,0.267815777195057,-4.83263376601181,1.34738519123218e-06,0.00631896706984067
"ENSG00000206190",27.6723538440337,-1.8296195271325,0.390171521948635,-4.68926978062066,2.74181712142041e-06,0.0107154782800312
"ENSG00000168918",30.5361665214426,-1.55195446513763,0.333463329358262,-4.6540483720483,3.25480393526665e-06,0.0109031282111525
"ENSG00000100362",2.61725808753206,-1.73860712983551,0.379780041890351,-4.57793179752579,4.69595738145129e-06,0.0137644380797064
"ENSG00000143341",7.11472201145916,-1.39230974955446,0.307512012147817,-4.52765971589166,5.96405203412008e-06,0.0155390062386758
"ENSG00000120129",17.846579450378,-1.07918909111921,0.240490692814825,-4.48744638924621,7.2081942517355e-06,0.0169024947008946
"ENSG00000118777",13.7766234337694,-1.32176410294773,0.29600014540853,-4.46541707310136,7.9912921581772e-06,0.0170352554379179
"ENSG00000090104",5.53969201975261,-2.10196828318756,0.483242437521139,-4.34971790550911,1.36312771680061e-05,0.0266366515260479
"ENSG00000122862",14.4468284940547,-1.71320089194954,0.402425230364565,-4.25719056033717,2.07011896756772e-05,0.0373401689773042
"ENSG00000087589",7.92243453154191,-1.04692177016726,0.255062931125501,-4.10456260950023,4.05080557607977e-05,0.0678480999667818
"ENSG00000137393",32.3370025142958,-1.27643675386625,0.316642523837213,-4.03116024467537,5.55021849323587e-05,0.0867647156319252
"ENSG00000027075",31.5892123817172,-1.0987940246684,0.276260484144212,-3.97738398262856,6.96775997505038e-05,0.098103409176998
