"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000135063",25.0447778755194,-2.09895536343519,0.395624112429241,-5.30542830300971,1.12408744567087e-07,0.00224220682812111
"ENSG00000187134",4.11640083773477,1.21844751304992,0.235002737081188,5.18482264582721,2.16220523444659e-07,0.00224220682812111
"ENSG00000140022",31.818277668871,-2.01628297329928,0.399442618162896,-5.04774123145022,4.47064102623461e-07,0.00309070316280352
"ENSG00000261742",4.75400479379871,1.87861102245275,0.379558385645898,4.9494652035046,7.44176804418639e-07,0.00385855673091065
"ENSG00000140873",16.6236514104126,-1.95137903317849,0.399617820956487,-4.8831131417209,1.04423912435805e-06,0.00433150388783719
"ENSG00000168792",4.18054369834407,-2.71115527542317,0.565593268006722,-4.793471614289,1.6391966194034e-06,0.00566615631440442
"ENSG00000172201",10.2347369174181,-2.03428186171853,0.428666242935471,-4.74560778984587,2.07881174594369e-06,0.00615922223012458
"ENSG00000110436",358.699341347242,-1.49456746998373,0.321469287690812,-4.64917653788813,3.33262879309272e-06,0.00863984014609287
"ENSG00000118777",10.075883282981,-1.82458767914456,0.397629433412857,-4.5886635289649,4.46092780047889e-06,0.0102799602868813
"ENSG00000085276",10.1774249931716,-1.91282303725801,0.432325445557014,-4.42449792607859,9.66668324237305e-06,0.0200487010446817
"ENSG00000106571",28.8693774224589,-1.8450091002752,0.432444506420241,-4.26646442002031,1.98595149849261e-05,0.0361536898672295
"ENSG00000286618",12.5248721009969,-1.38950351804058,0.327610330855234,-4.24132998008106,2.22199175709323e-05,0.0361536898672295
"ENSG00000102755",16.8232839193025,-1.72323514807499,0.406719537348272,-4.23691263839973,2.26614256641265e-05,0.0361536898672295
"ENSG00000115604",1.90126513547708,1.63890357166259,0.391154715480013,4.18991132358299,2.79063490611581e-05,0.0413412628234585
"ENSG00000142611",15.0236277322733,-1.84505298842228,0.44661423688793,-4.13120056646394,3.6087354183369e-05,0.0498967817175382
"ENSG00000100767",10.0991764930767,-1.67608109916997,0.40762316373523,-4.11183968008908,3.92518837302368e-05,0.0508802542853195
"ENSG00000227769",2.23214067128206,-1.21980492607946,0.297897974044433,-4.09470702173195,4.22702568894655e-05,0.0515697134051479
"ENSG00000204389",39.8661106037976,-1.28390476364295,0.317024607709905,-4.04985837824234,5.12486383221352e-05,0.0575640224279358
"ENSG00000180229",40.5256449341789,-1.25023672677832,0.30922234018866,-4.04316430053383,5.27346396398641e-05,0.0575640224279358
"ENSG00000130635",9.25456744521917,1.04620193831328,0.260887467268966,4.01016556780279,6.06761858134092e-05,0.0629212046885053
"ENSG00000197360",24.0584004991141,-1.43201959301883,0.360056116625246,-3.97721223691725,6.97279260995474e-05,0.0688646279668863
"ENSG00000287801",3.16906741828139,-1.88783067844512,0.479637001622576,-3.93595713437189,8.286576428038e-05,0.0781198159625036
"ENSG00000090924",2.27500388853672,1.19680787056851,0.308618583898066,3.87795140348324,0.00010533975195451,0.0949889763276752
"ENSG00000251372",45.7670258279792,-1.31917255288347,0.347524794029525,-3.79590917122131,0.000147103353106457,0.125625034624545
"ENSG00000149150",2.61557966291917,0.684351410333271,0.18062889128,3.78871511353313,0.000151428440964978,0.125625034624545
"ENSG00000117394",10.6531108632366,-1.0987053299906,0.294453024017719,-3.73134333958982,0.000190461436405627,0.151929622732796
"ENSG00000174059",1.95596641564393,-2.74523862387652,0.73860988395985,-3.71676399611483,0.000201790775370962,0.155005210414583
"ENSG00000071205",68.5813151307939,1.16931332961076,0.318203377216406,3.67473576125977,0.000238095699802351,0.176360886210741
"ENSG00000164089",13.5715492110136,-1.64834237218567,0.452684939947254,-3.64125736627716,0.000271309746899132,0.194033246575448
"ENSG00000229494",7.08647174843062,-2.11597837252878,0.582935084355266,-3.62986965327208,0.000283564377699321,0.196037506449464
"ENSG00000136830",4.79584360468185,0.899040061024956,0.248478251671618,3.61818410656359,0.000296677327833773,0.198486702557176
