development_stage,dementia || Alzheimer disease,dementia || Alzheimer disease || diabetes mellitus,diabetes mellitus,tauopathy,normal
64-year-old stage,0,0,0,0,5906
65-year-old stage,5246,0,0,0,0
67-year-old stage,5449,0,0,0,0
68-year-old stage,3984,0,0,0,0
69-year-old stage,8469,0,0,0,0
70-year-old stage,0,0,0,0,3906
72-year-old stage,0,0,10524,0,0
73-year-old stage,0,0,0,2698,0
74-year-old stage,2530,0,0,0,0
75-year-old stage,0,0,0,10637,1636
76-year-old stage,7488,0,0,0,10061
77-year-old stage,0,0,0,0,3568
78-year-old stage,6610,0,0,0,5796
79-year-old stage,3554,0,2475,5851,6487
80 year-old and over stage,69607,37460,27588,10299,38296
80-year-old stage,6766,4895,0,0,4101
81-year-old stage,0,0,0,0,6945
82-year-old stage,3573,0,12271,4080,10063
83-year-old stage,11692,0,1157,4889,0
84-year-old stage,5440,0,1743,0,4119
85-year-old stage,1682,0,6937,0,5944
86-year-old stage,2393,1251,0,0,11654
87-year-old stage,9699,0,0,0,0
88-year-old stage,2388,7268,6927,8931,0
89-year-old stage,19121,0,6175,0,2596
