cluster,gene,score
0,ENSG00000150867,113.92579
0,ENSG00000165959,110.70578
0,ENSG00000176771,104.301186
0,ENSG00000154493,103.10744
0,ENSG00000115896,100.562454
0,ENSG00000187147,100.459694
0,ENSG00000155849,100.16449
0,ENSG00000147459,100.113716
0,ENSG00000134851,100.05369
0,ENSG00000147488,99.61129
1,ENSG00000197971,112.1671
1,ENSG00000168314,105.62466
1,ENSG00000257585,100.97759
1,ENSG00000054690,100.58325
1,ENSG00000204655,100.34047
1,ENSG00000183230,98.08895
1,ENSG00000141338,96.44863
1,ENSG00000167123,93.7922
1,ENSG00000227088,93.54346
1,ENSG00000147488,93.23573
2,ENSG00000110436,135.88855
2,ENSG00000179399,134.92494
2,ENSG00000150625,134.35493
2,ENSG00000066032,131.75543
2,ENSG00000164199,131.67422
2,ENSG00000134769,131.64485
2,ENSG00000198838,131.10974
2,ENSG00000154217,130.34213
2,ENSG00000185565,129.15894
2,ENSG00000080493,128.63062
3,ENSG00000188316,107.477486
3,ENSG00000123560,97.04866
3,ENSG00000198739,92.37703
3,ENSG00000173786,91.84936
3,ENSG00000234281,85.26327
3,ENSG00000249042,83.873535
3,ENSG00000187210,83.75472
3,ENSG00000229294,82.82161
3,ENSG00000100564,82.70994
3,ENSG00000135845,82.11616
4,ENSG00000123560,79.056114
4,ENSG00000270641,76.66418
4,ENSG00000188316,71.04368
4,ENSG00000234281,69.86231
4,ENSG00000228842,65.64355
4,ENSG00000225937,65.4363
4,ENSG00000229807,64.72317
4,ENSG00000173786,63.546486
4,ENSG00000137941,63.05128
4,ENSG00000091513,61.480595
5,ENSG00000141668,105.4257
5,ENSG00000185774,104.655525
5,ENSG00000185352,100.80757
5,ENSG00000184672,99.16876
5,ENSG00000145526,98.652275
5,ENSG00000185666,98.46406
5,ENSG00000160145,98.35181
5,ENSG00000169744,98.33373
5,ENSG00000145087,98.070854
5,ENSG00000185760,97.71086
6,ENSG00000070214,79.796234
6,ENSG00000151552,75.15975
6,ENSG00000114757,74.46998
6,ENSG00000164176,70.86005
6,ENSG00000154678,69.04665
6,ENSG00000260788,68.978485
6,ENSG00000225937,68.50103
6,ENSG00000155849,68.35274
6,ENSG00000196104,67.42899
6,ENSG00000011426,65.746826
7,ENSG00000148655,92.198074
7,ENSG00000120594,91.84811
7,ENSG00000107099,91.588715
7,ENSG00000138639,89.74792
7,ENSG00000077420,89.59125
7,ENSG00000073849,89.28121
7,ENSG00000266028,88.35534
7,ENSG00000198879,87.276855
7,ENSG00000123104,86.4892
7,ENSG00000059377,85.81407
8,ENSG00000120549,91.259865
