,Oligodendrocyte/OPC__Donor_333,Excitatory neuron__Donor_865,Excitatory neuron__Donor_614,Excitatory neuron__Donor_333,Inhibitory neuron__Donor_31,Excitatory neuron__Donor_1001,Excitatory neuron__Donor_638,Excitatory neuron__Donor_228,Inhibitory neuron__Donor_1001,Excitatory neuron__Donor_31,Support/Vascular/Immune__Donor_1001,Excitatory neuron__Donor_1007,Astrocyte Homeostatic__Donor_614,Inhibitory neuron__Donor_638,Inhibitory neuron__Donor_333,Astrocyte Reactive__Donor_1001,Microglia__Donor_1001,Oligodendrocyte/OPC__Donor_1001,Microglia__Donor_865,Support/Vascular/Immune__Donor_638,Support/Vascular/Immune__Donor_228,Inhibitory neuron__Donor_865,Support/Vascular/Immune__Donor_614,Inhibitory neuron__Donor_614,Microglia__Donor_333,Microglia__Donor_614,Oligodendrocyte/OPC__Donor_865,Support/Vascular/Immune__Donor_865,Support/Vascular/Immune__Donor_333,Microglia__Donor_228,Astrocyte Reactive__Donor_614,Support/Vascular/Immune__Donor_31,Microglia__Donor_1007,Astrocyte Homeostatic__Donor_31,Inhibitory neuron__Donor_228,Inhibitory neuron__Donor_1007,Oligodendrocyte/OPC__Donor_638,Support/Vascular/Immune__Donor_1007,Astrocyte Reactive__Donor_865,Oligodendrocyte/OPC__Donor_614,Microglia__Donor_638,Microglia__Donor_31,Oligodendrocyte/OPC__Donor_228,Excitatory neuron__Donor_545,Inhibitory neuron__Donor_941,Excitatory neuron__Donor_941,Excitatory neuron__Donor_1467,Oligodendrocyte/OPC__Donor_941,Support/Vascular/Immune__Donor_941,Inhibitory neuron__Donor_545,Oligodendrocyte/OPC__Donor_545,Microglia__Donor_545,Support/Vascular/Immune__Donor_1467,Inhibitory neuron__Donor_1467,Support/Vascular/Immune__Donor_545,Microglia__Donor_941,Astrocyte Homeostatic__Donor_941,Astrocyte Homeostatic__Donor_545,Excitatory neuron__Donor_609,Excitatory neuron__Donor_735,Excitatory neuron__Donor_634,Astrocyte Homeostatic__Donor_1146,Astrocyte Homeostatic__Donor_609,Support/Vascular/Immune__Donor_1146,Inhibitory neuron__Donor_1146,Inhibitory neuron__Donor_1278,Oligodendrocyte/OPC__Donor_721,Microglia__Donor_634,Excitatory neuron__Donor_1146,Excitatory neuron__Donor_721,Microglia__Donor_1146,Astrocyte Reactive__Donor_1146,Microglia__Donor_609,Inhibitory neuron__Donor_634,Inhibitory neuron__Donor_721,Oligodendrocyte/OPC__Donor_1278,Support/Vascular/Immune__Donor_735,Inhibitory neuron__Donor_609,Oligodendrocyte/OPC__Donor_735,Excitatory neuron__Donor_1278,Support/Vascular/Immune__Donor_609,Support/Vascular/Immune__Donor_634,Support/Vascular/Immune__Donor_1278,Support/Vascular/Immune__Donor_721,Astrocyte Homeostatic__Donor_735,Inhibitory neuron__Donor_735,Microglia__Donor_721,Oligodendrocyte/OPC__Donor_634,Astrocyte Homeostatic__Donor_721,Astrocyte Reactive__Donor_735,Astrocyte Reactive__Donor_634,Microglia__Donor_735,Oligodendrocyte/OPC__Donor_1146,Astrocyte Reactive__Donor_609,Oligodendrocyte/OPC__Donor_609,Astrocyte Homeostatic__Donor_1278
ENSG00000000938,11.0,8.0,5.0,1.0,12.0,6.0,7.0,4.0,56.0,1.0,4.0,2.0,1.0,24.0,23.0,1.0,2.0,95.0,39.0,0.0,1.0,3.0,1.0,24.0,0.0,2.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,16.0,0.0,0.0,18.0,2.0,0.0,9.0,2.0,8.0,0.0,2.0,7.0,1.0,5.0,8.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,67.0,7.0,7.0,4.0,3.0,3.0,2.0,8.0,7.0,2.0,3.0,2.0,3.0,0.0,1.0,50.0,6.0,1.0,3.0,4.0,29.0,2.0,2.0,2.0,2.0,0.0,0.0,70.0,0.0,73.0,0.0,0.0,30.0,0.0,4.0,0.0,9.0,0.0
ENSG00000000971,118.0,127.0,38.0,30.0,35.0,203.0,117.0,17.0,17.0,12.0,18.0,12.0,4.0,8.0,7.0,983.0,10.0,442.0,12.0,0.0,0.0,3.0,3.0,2.0,1.0,6.0,170.0,8.0,7.0,0.0,331.0,7.0,0.0,4.0,2.0,0.0,144.0,2.0,529.0,171.0,0.0,2.0,72.0,57.0,75.0,24.0,11.0,27.0,6.0,3.0,34.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,55.0,35.0,138.0,7.0,14.0,10.0,3.0,23.0,64.0,20.0,42.0,12.0,12.0,90.0,5.0,11.0,8.0,16.0,3.0,1.0,298.0,46.0,15.0,11.0,6.0,11.0,4.0,5.0,2.0,552.0,1.0,214.0,2619.0,2.0,32.0,216.0,86.0,0.0
ENSG00000001631,4.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002746,181.0,4606.0,3300.0,1242.0,154.0,4921.0,1629.0,1440.0,144.0,204.0,3038.0,805.0,50.0,61.0,85.0,152.0,6760.0,88.0,1928.0,543.0,1067.0,162.0,1319.0,75.0,429.0,2996.0,12.0,1976.0,1516.0,204.0,52.0,903.0,242.0,13.0,9.0,17.0,10.0,176.0,84.0,7.0,863.0,182.0,4.0,2308.0,255.0,692.0,85.0,29.0,682.0,105.0,2.0,587.0,621.0,11.0,493.0,405.0,1.0,2.0,11497.0,2162.0,3074.0,212.0,161.0,2622.0,219.0,247.0,383.0,7523.0,2808.0,1314.0,3871.0,31.0,8214.0,202.0,167.0,20.0,1714.0,188.0,9.0,430.0,2876.0,1604.0,876.0,1242.0,55.0,84.0,1088.0,47.0,14.0,16.0,288.0,2487.0,5.0,17.0,5.0,4.0
ENSG00000003436,48.0,302.0,87.0,107.0,20.0,572.0,116.0,30.0,11.0,16.0,13.0,14.0,3.0,1.0,1.0,229.0,15.0,57.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,18.0,8.0,21.0,0.0,47.0,3.0,0.0,1.0,1.0,0.0,17.0,0.0,83.0,27.0,0.0,0.0,5.0,58.0,70.0,24.0,18.0,5.0,11.0,1.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,108.0,137.0,238.0,3.0,8.0,10.0,9.0,39.0,39.0,18.0,47.0,21.0,10.0,17.0,13.0,3.0,14.0,4.0,13.0,3.0,29.0,87.0,11.0,3.0,10.0,4.0,12.0,10.0,4.0,59.0,2.0,49.0,218.0,1.0,0.0,30.0,19.0,4.0
ENSG00000003989,68.0,1485.0,608.0,566.0,115.0,1358.0,515.0,982.0,967.0,356.0,269.0,199.0,30.0,98.0,498.0,193.0,17.0,50.0,20.0,27.0,28.0,685.0,107.0,163.0,4.0,10.0,6.0,138.0,79.0,0.0,48.0,42.0,2.0,3.0,10.0,6.0,0.0,11.0,75.0,3.0,3.0,1.0,0.0,438.0,269.0,117.0,421.0,10.0,50.0,77.0,0.0,1.0,26.0,98.0,18.0,3.0,1.0,3.0,1378.0,481.0,932.0,40.0,42.0,209.0,248.0,159.0,90.0,15.0,447.0,126.0,23.0,23.0,9.0,665.0,162.0,7.0,125.0,393.0,0.0,213.0,79.0,101.0,32.0,82.0,9.0,282.0,2.0,9.0,3.0,5.0,715.0,2.0,0.0,31.0,0.0,2.0
ENSG00000004948,6.0,23.0,18.0,6.0,33.0,21.0,3.0,4.0,22.0,4.0,42.0,0.0,9.0,1.0,5.0,2.0,6.0,6.0,68.0,0.0,0.0,1.0,24.0,4.0,2.0,12.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,6.0,2.0,3.0,1.0,36.0,0.0,1.0,4.0,17.0,0.0,0.0,0.0,0.0,28.0,7.0,8.0,3.0,3.0,24.0,165.0,28.0,25.0,3.0,12.0,8.0,8.0,0.0,5.0,50.0,4.0,2.0,9.0,1.0,0.0,5.0,7.0,16.0,1.0,8.0,5.0,174.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005020,357.0,976.0,385.0,294.0,1398.0,683.0,261.0,190.0,2288.0,91.0,537.0,49.0,35.0,1059.0,538.0,38.0,1317.0,245.0,1419.0,44.0,47.0,60.0,213.0,404.0,60.0,492.0,47.0,304.0,238.0,27.0,2.0,34.0,33.0,29.0,319.0,170.0,46.0,20.0,12.0,35.0,107.0,21.0,20.0,315.0,653.0,96.0,83.0,42.0,46.0,860.0,29.0,83.0,19.0,392.0,46.0,65.0,0.0,1.0,1955.0,201.0,389.0,75.0,141.0,337.0,614.0,788.0,343.0,966.0,393.0,181.0,512.0,3.0,1372.0,934.0,318.0,28.0,147.0,71.0,28.0,158.0,341.0,186.0,42.0,142.0,67.0,1344.0,157.0,132.0,6.0,4.0,77.0,226.0,8.0,2.0,16.0,4.0
ENSG00000005108,210.0,5778.0,2712.0,2085.0,273.0,5765.0,2249.0,2298.0,1004.0,1555.0,5526.0,349.0,63.0,294.0,984.0,59.0,1407.0,845.0,397.0,645.0,907.0,1239.0,2757.0,671.0,66.0,582.0,109.0,3169.0,2757.0,32.0,10.0,910.0,12.0,26.0,62.0,66.0,210.0,143.0,29.0,221.0,155.0,106.0,71.0,1987.0,667.0,681.0,863.0,69.0,866.0,862.0,55.0,47.0,717.0,150.0,858.0,118.0,2.0,0.0,3331.0,2172.0,2607.0,113.0,87.0,5721.0,1674.0,312.0,438.0,1867.0,4433.0,1012.0,1933.0,20.0,1676.0,1296.0,702.0,30.0,2226.0,1080.0,183.0,1694.0,2526.0,3843.0,965.0,2206.0,24.0,348.0,460.0,518.0,14.0,7.0,108.0,683.0,43.0,6.0,97.0,9.0
ENSG00000006042,2516.0,11504.0,188.0,476.0,1895.0,374.0,518.0,303.0,32.0,120.0,18.0,81.0,445.0,21.0,67.0,11.0,19.0,1488.0,19.0,12.0,7.0,13.0,11.0,26.0,4.0,17.0,2.0,16.0,7.0,0.0,3.0,7.0,2.0,275.0,40.0,2.0,3.0,0.0,6.0,9.0,4.0,0.0,1.0,619.0,3528.0,223.0,167.0,206.0,7.0,4.0,8.0,1.0,5.0,123.0,1.0,3.0,17.0,25.0,1278.0,115.0,1025.0,801.0,1502.0,24.0,216.0,2572.0,2108.0,21.0,73.0,101.0,22.0,5.0,19.0,34.0,523.0,226.0,4.0,175.0,25.0,421.0,18.0,8.0,10.0,12.0,344.0,47.0,2.0,120.0,36.0,1.0,16.0,4.0,20.0,4.0,17.0,33.0
